timestamp,cpu_usage,ram_usage,temp_celsius,network_latency,disk_io,swap_usage,net_throughput,thread_count,failure
2026-01-01 00:00:00,68.09,63.36,64.82,171.07,1.84,15.93,67.94,254.87,0
2026-01-01 00:05:00,41.2,62.61,76.39,172.87,52.82,5.83,241.47,366.16,0
2026-01-01 00:10:00,77.01,55.46,38.44,161.25,33.84,15.09,7.65,367.76,0
2026-01-01 00:15:00,80.81,75.71,57.44,144.21,23.0,12.11,121.24,372.25,0
2026-01-01 00:20:00,22.98,72.22,75.27,142.71,29.98,31.71,206.05,400.13,0
2026-01-01 00:25:00,35.96,39.37,63.05,135.27,55.74,14.46,174.06,194.25,0
2026-01-01 00:30:00,64.56,38.27,85.48,142.42,49.62,0.0,380.84,576.16,0
2026-01-01 00:35:00,55.68,75.64,36.79,146.14,32.44,20.98,117.19,320.39,0
2026-01-01 00:40:00,61.66,53.32,34.96,42.76,12.22,36.43,0.0,394.23,0
2026-01-01 00:45:00,44.94,73.44,74.31,76.54,13.63,29.36,0.0,251.57,0
2026-01-01 00:50:00,79.59,82.06,75.85,63.41,50.06,1.76,246.79,396.72,0
2026-01-01 00:55:00,77.56,45.12,58.91,180.89,9.45,11.78,144.38,661.55,0
2026-01-01 01:00:00,63.32,42.59,68.41,210.98,32.64,14.63,27.4,201.6,0
2026-01-01 01:05:00,84.54,98.14,73.92,5.0,88.62,14.78,602.52,182.66,0
2026-01-01 01:10:00,71.35,74.33,48.98,206.06,44.19,19.57,399.18,220.32,0
2026-01-01 01:15:00,44.81,60.45,50.69,124.77,49.84,10.87,239.48,300.03,0
2026-01-01 01:20:00,69.38,51.19,65.04,175.7,13.78,4.01,291.99,271.79,0
2026-01-01 01:25:00,42.82,58.81,76.47,147.86,10.45,26.42,202.27,193.9,0
2026-01-01 01:30:00,79.57,46.57,43.34,199.22,50.92,1.52,24.31,342.55,0
2026-01-01 01:35:00,61.0,83.9,58.83,131.54,29.35,5.37,435.53,584.17,0
2026-01-01 01:40:00,58.3,54.02,58.09,45.01,58.47,1.44,403.24,327.53,0
2026-01-01 01:45:00,48.38,87.68,68.69,114.19,37.86,22.35,0.0,335.53,0
2026-01-01 01:50:00,86.45,60.79,61.86,148.36,100.0,16.28,290.76,401.44,0
2026-01-01 01:55:00,58.91,49.22,53.27,108.12,25.55,25.6,310.63,447.15,0
2026-01-01 02:00:00,53.43,60.33,81.98,156.18,42.78,5.58,192.09,555.98,0
2026-01-01 02:05:00,54.96,20.76,53.37,116.39,19.12,0.0,627.51,386.01,0
2026-01-01 02:10:00,72.65,65.83,57.33,87.25,57.64,9.67,607.97,349.6,0
2026-01-01 02:15:00,69.31,64.94,36.54,60.27,45.81,12.81,182.05,201.27,0
2026-01-01 02:20:00,70.25,82.85,50.58,98.45,17.78,17.51,209.89,460.99,0
2026-01-01 02:25:00,70.62,34.05,70.26,131.25,30.65,0.0,188.75,223.32,0
2026-01-01 02:30:00,100.0,88.91,67.13,12.23,64.44,20.74,139.96,218.68,0
2026-01-01 02:35:00,53.87,82.77,71.59,77.1,62.03,4.27,84.26,378.97,0
2026-01-01 02:40:00,51.76,90.54,70.82,10.18,8.71,7.23,341.23,581.23,0
2026-01-01 02:45:00,45.72,67.05,95.4,86.06,27.68,29.08,603.06,458.97,0
2026-01-01 02:50:00,74.32,86.25,50.03,185.85,73.43,0.0,529.01,344.37,0
2026-01-01 02:55:00,84.58,41.52,36.09,54.76,33.66,18.87,392.05,202.76,0
2026-01-01 03:00:00,59.72,80.83,45.19,158.67,40.67,18.82,0.0,578.32,0
2026-01-01 03:05:00,45.2,54.12,50.74,276.69,57.54,5.17,0.0,341.51,0
2026-01-01 03:10:00,45.51,38.27,46.41,199.94,10.36,9.64,441.55,306.47,0
2026-01-01 03:15:00,75.01,47.77,63.5,127.34,18.21,29.65,541.49,433.28,0
2026-01-01 03:20:00,76.87,68.1,82.04,167.21,30.53,38.56,349.67,282.79,0
2026-01-01 03:25:00,72.86,53.16,86.63,44.67,61.09,27.78,195.0,237.05,0
2026-01-01 03:30:00,48.69,74.77,70.07,33.46,57.4,37.63,493.41,251.44,0
2026-01-01 03:35:00,66.64,35.45,96.26,121.58,51.4,6.7,385.65,251.04,0
2026-01-01 03:40:00,64.33,29.71,56.3,141.92,34.22,0.0,454.74,180.89,0
2026-01-01 03:45:00,66.37,92.7,35.88,180.19,59.59,14.37,0.0,164.16,0
2026-01-01 03:50:00,79.43,84.27,78.85,88.72,33.95,24.66,311.8,495.8,0
2026-01-01 03:55:00,66.47,49.11,32.58,130.64,48.56,0.0,569.42,450.33,0
2026-01-01 04:00:00,75.58,67.95,49.92,128.75,55.24,3.88,344.94,226.58,0
2026-01-01 04:05:00,63.35,86.35,70.32,112.77,70.94,5.22,420.68,483.26,0
2026-01-01 04:10:00,67.78,75.55,60.36,116.01,35.87,19.28,256.55,396.4,0
2026-01-01 04:15:00,74.63,70.67,58.94,72.99,29.75,17.73,269.09,301.43,0
2026-01-01 04:20:00,32.86,87.71,43.11,135.38,62.9,5.7,502.45,166.13,0
2026-01-01 04:25:00,55.61,54.85,61.83,130.73,64.44,17.16,129.44,401.22,0
2026-01-01 04:30:00,52.59,68.56,78.06,95.8,26.13,1.26,111.82,629.81,0
2026-01-01 04:35:00,49.22,67.68,62.32,156.62,14.9,9.88,163.92,352.19,0
2026-01-01 04:40:00,56.5,63.09,48.72,176.53,61.38,0.0,254.22,499.8,0
2026-01-01 04:45:00,91.9,60.98,42.04,157.26,4.17,13.2,0.0,318.24,0
2026-01-01 04:50:00,44.68,69.31,49.05,62.67,3.14,5.39,381.59,488.28,0
2026-01-01 04:55:00,81.37,68.62,68.28,125.48,31.63,23.28,220.44,327.47,0
2026-01-01 05:00:00,28.34,49.13,67.5,69.87,37.05,14.69,403.66,50.0,0
2026-01-01 05:05:00,55.3,82.43,49.19,125.31,13.8,12.28,0.0,241.74,0
2026-01-01 05:10:00,65.26,50.43,26.63,70.09,39.44,36.22,404.35,369.84,0
2026-01-01 05:15:00,73.72,64.07,68.72,190.24,40.33,19.6,490.64,512.39,0
2026-01-01 05:20:00,76.22,62.68,47.64,163.08,25.39,10.58,328.94,326.98,0
2026-01-01 05:25:00,77.87,74.45,73.02,183.41,75.67,8.0,255.4,354.47,0
2026-01-01 05:30:00,55.03,29.86,49.9,177.84,43.6,0.83,405.74,261.91,0
2026-01-01 05:35:00,52.75,84.04,46.19,105.12,57.57,14.21,478.86,584.14,0
2026-01-01 05:40:00,79.16,55.81,64.45,96.59,5.88,18.69,344.13,575.1,0
2026-01-01 05:45:00,58.17,89.96,99.72,215.79,5.7,0.0,357.58,248.56,0
2026-01-01 05:50:00,36.49,59.39,73.98,110.92,44.2,0.0,548.25,122.54,0
2026-01-01 05:55:00,39.33,67.12,64.18,45.5,72.1,8.81,387.01,78.92,0
2026-01-01 06:00:00,43.61,100.0,67.74,175.41,14.8,1.82,105.95,440.51,0
2026-01-01 06:05:00,71.94,63.01,33.98,127.91,37.87,15.52,478.0,370.28,0
2026-01-01 06:10:00,64.85,90.3,44.04,202.83,10.3,17.19,227.73,232.73,1
2026-01-01 06:15:00,75.81,68.7,21.83,133.36,20.63,13.53,255.99,390.78,0
2026-01-01 06:20:00,53.45,75.48,89.68,118.9,38.86,21.6,269.24,165.45,0
2026-01-01 06:25:00,65.17,69.26,86.44,203.94,25.15,7.98,424.4,469.24,0
2026-01-01 06:30:00,74.51,83.26,68.29,35.38,8.89,14.45,564.79,292.65,0
2026-01-01 06:35:00,55.81,55.66,64.16,87.81,8.44,2.96,254.4,187.78,0
2026-01-01 06:40:00,71.14,50.29,37.17,71.2,0.0,18.42,561.63,294.95,0
2026-01-01 06:45:00,48.76,56.51,58.49,5.0,44.53,15.91,279.63,289.78,0
2026-01-01 06:50:00,54.74,69.79,90.68,168.02,46.95,0.62,502.39,404.76,0
2026-01-01 06:55:00,54.37,64.03,64.1,89.34,46.85,13.14,285.72,524.9,0
2026-01-01 07:00:00,38.08,80.78,52.97,169.8,16.82,14.55,161.36,517.12,0
2026-01-01 07:05:00,71.74,91.49,33.87,141.4,55.12,18.37,595.98,373.94,0
2026-01-01 07:10:00,52.61,50.43,84.08,153.39,49.14,18.82,144.18,321.92,0
2026-01-01 07:15:00,62.25,54.79,60.88,94.95,35.15,6.35,132.13,264.7,0
2026-01-01 07:20:00,71.61,42.15,33.89,77.97,31.86,24.16,23.91,84.8,0
2026-01-01 07:25:00,70.93,100.0,47.21,124.94,22.02,21.28,478.11,347.12,0
2026-01-01 07:30:00,75.31,73.48,41.56,170.55,38.84,6.31,520.62,222.35,0
2026-01-01 07:35:00,60.03,76.64,59.89,117.23,67.34,1.29,317.16,532.75,0
2026-01-01 07:40:00,53.53,43.88,65.32,81.39,57.76,7.22,72.9,319.89,0
2026-01-01 07:45:00,60.41,67.98,53.95,54.05,29.88,0.0,248.78,462.06,0
2026-01-01 07:50:00,28.25,77.17,74.43,131.23,45.77,17.5,195.53,277.62,0
2026-01-01 07:55:00,33.06,63.45,63.26,89.53,12.97,29.2,64.52,248.68,0
2026-01-01 08:00:00,35.55,87.36,79.0,116.05,49.6,32.06,162.0,440.72,0
2026-01-01 08:05:00,42.06,100.0,56.28,106.87,18.38,1.93,341.03,391.65,0
2026-01-01 08:10:00,70.0,50.95,105.0,95.56,48.81,24.44,141.07,398.33,0
2026-01-01 08:15:00,43.89,49.6,52.97,136.16,94.38,16.01,302.51,335.93,0
2026-01-01 08:20:00,54.44,52.2,47.55,150.5,23.6,0.0,0.0,468.41,0
2026-01-01 08:25:00,87.98,96.91,45.58,228.09,93.46,11.01,552.25,446.72,1
2026-01-01 08:30:00,54.87,86.76,58.62,161.69,44.81,9.68,179.55,50.0,0
2026-01-01 08:35:00,76.75,65.56,34.49,207.65,20.01,29.53,406.64,311.38,0
2026-01-01 08:40:00,43.33,68.66,66.71,74.98,19.09,4.55,283.96,502.21,0
2026-01-01 08:45:00,57.89,53.3,31.52,31.95,82.3,21.76,322.45,197.07,0
2026-01-01 08:50:00,43.0,84.02,64.59,119.21,44.86,13.71,46.24,96.14,0
2026-01-01 08:55:00,55.22,61.16,40.38,167.19,23.68,0.0,113.1,329.18,0
2026-01-01 09:00:00,78.81,63.32,55.9,158.56,30.93,8.37,117.19,428.11,0
2026-01-01 09:05:00,27.45,78.96,71.67,186.63,43.62,33.38,254.56,280.93,0
2026-01-01 09:10:00,70.69,64.62,98.86,5.0,34.83,12.92,488.71,543.94,0
2026-01-01 09:15:00,66.75,63.77,44.75,188.91,41.92,25.87,327.99,626.54,0
2026-01-01 09:20:00,50.12,68.19,59.59,138.45,70.47,25.21,87.94,61.24,0
2026-01-01 09:25:00,33.08,82.32,50.42,35.08,12.44,9.62,265.72,292.4,0
2026-01-01 09:30:00,63.44,97.64,48.08,159.79,47.89,0.0,235.49,50.0,0
2026-01-01 09:35:00,51.41,78.54,50.56,129.32,33.54,1.18,186.84,449.15,0
2026-01-01 09:40:00,66.65,82.46,75.19,140.97,25.02,32.42,247.23,248.02,0
2026-01-01 09:45:00,62.44,64.4,54.19,174.95,56.44,16.82,387.47,278.63,0
2026-01-01 09:50:00,94.04,55.26,97.99,143.67,5.77,0.0,120.41,522.21,1
2026-01-01 09:55:00,57.21,79.77,68.66,38.99,0.0,25.01,187.74,150.74,0
2026-01-01 10:00:00,41.53,71.08,45.84,112.13,39.49,0.0,426.78,113.07,0
2026-01-01 10:05:00,65.59,42.39,56.13,31.03,32.24,5.09,334.41,50.0,0
2026-01-01 10:10:00,66.4,62.09,49.17,155.7,7.94,15.98,480.24,540.58,0
2026-01-01 10:15:00,89.18,66.51,74.8,196.89,0.79,45.25,508.45,505.73,0
2026-01-01 10:20:00,78.7,58.81,35.78,51.72,73.61,24.79,5.1,305.92,0
2026-01-01 10:25:00,69.14,94.67,40.54,83.07,44.26,9.21,301.89,158.71,0
2026-01-01 10:30:00,91.27,76.64,52.54,71.47,35.39,15.34,158.57,475.11,0
2026-01-01 10:35:00,38.22,92.72,72.93,95.04,78.9,26.04,34.23,763.2,0
2026-01-01 10:40:00,49.2,72.74,81.73,142.68,55.44,32.06,107.95,314.65,0
2026-01-01 10:45:00,43.47,69.46,84.09,95.63,70.39,12.03,195.86,169.56,0
2026-01-01 10:50:00,54.2,51.14,70.48,155.89,11.4,12.38,196.99,536.25,0
2026-01-01 10:55:00,34.47,68.21,60.67,178.6,10.65,5.04,140.76,180.13,0
2026-01-01 11:00:00,74.7,68.23,74.71,180.6,47.34,22.98,247.54,295.0,0
2026-01-01 11:05:00,57.56,43.39,43.69,58.5,43.29,27.31,690.4,50.0,0
2026-01-01 11:10:00,32.58,58.29,32.49,196.23,59.99,0.0,0.0,304.51,0
2026-01-01 11:15:00,41.69,62.18,68.99,200.63,2.38,10.24,454.69,158.26,0
2026-01-01 11:20:00,68.27,75.44,45.91,205.4,49.07,0.44,246.69,538.82,0
